country,confirmed,death,recovered,active,population
Afghanistan,39693,1472,33058,5163,38041754
Albania,15066,413,9304,5349,2854191
Algeria,52804,1789,37067,13948,43053054
Andorra,2696,55,1814,827,77142
Angola,6031,212,2685,3134,31825295
Antigua and Barbuda,111,3,97,11,97118
Argentina,871468,23225,697141,151102,44938712
Armenia,55087,1010,45528,8549,2957731
Australia,27244,897,24987,1360,25364307
Austria,53188,842,42039,10307,8877067
Azerbaijan,41519,605,39129,1785,10023318
Bahamas,4713,102,2607,2004,389482
Bahrain,74860,271,70406,4183,1641172
Bangladesh,375870,5477,289912,80481,163046161
Barbados,204,7,182,15,287025
Belarus,82471,885,76543,5043,9466856
Belgium,148981,10151,20072,118758,11484055
Belize,2427,35,1487,905,390353
Benin,2411,41,1973,397,11801151
Bhutan,306,0,282,24,763092
Bolivia,138226,8262,100347,29617,11513100
Bosnia and Herzegovina,29917,926,23241,5750,3301000
Botswana,3219,18,834,2367,2303697
Brazil,5055888,149639,4502854,403395,211049527
Brunei,146,3,143,0,433285
Bulgaria,23871,887,15713,7271,6975761
Burkina Faso,2254,60,1516,678,20321378
Myanmar,23906,566,6738,16602,54045420
Burundi,515,1,472,42,11530580
Cabo Verde,6809,73,5932,804,549935
Cambodia,283,0,277,6,16486542
Cameroon,21203,423,20117,663,25876380
Canada,180625,9638,152046,NA,37589262
Central African Republic,4853,62,1914,2877,4745185
Chad,1274,90,1102,82,15946876
Chile,477769,13220,450297,NA,18952038
China,90751,4739,85641,371,1397715000
Colombia,894300,27495,780547,86258,50339443
Comoros,495,7,475,13,850886
"Congo, Rep.",5118,90,3887,1141,5380508
"Congo, Dem. Rep.",10835,276,10242,317,86790567
Costa Rica,86053,1055,52327,32671,5047561
Cote d'Ivoire,20036,120,19696,220,25716544
Croatia,19446,313,16695,2438,4067500
Cuba,5943,123,5398,422,11333483
Cyprus,1951,25,1369,557,1198575
Czech Republic,109374,905,53173,55296,10669709
Denmark,32131,665,25975,5491,5818553
Djibouti,5423,61,5355,7,973560
Dominica,32,0,24,8,71808
Dominican Republic,117457,2165,93061,22231,10738958
Ecuador,145848,12175,120511,13162,17373662
Egypt,104262,6029,97592,641,100388073
El Salvador,29951,881,24995,4075,6453553
Equatorial Guinea,5063,83,4894,86,1355986
Estonia,3809,68,2906,835,1326590
Eswatini,5644,113,5254,277,1148130
Ethiopia,82662,1271,37102,44289,112078730
Fiji,32,2,28,2,889953
Finland,11580,346,8500,2734,5520314
France,732434,32601,103232,596601,67059887
Gabon,8835,54,8189,592,2172579
Gambia,3621,117,2489,1015,2347706
Georgia,10752,72,5866,4814,3720382
Germany,320495,9599,273718,37178,83132799
Ghana,46987,306,46378,303,30417856
Greece,21772,431,1347,19994,10716322
Grenada,24,0,24,0,112003
Guatemala,96935,3356,85343,8236,16604026
Guinea,10954,68,10265,621,12771246
Guinea-Bissau,2385,40,1728,617,1920922
Guyana,3358,100,2180,1078,782766
Haiti,8854,230,7013,1611,11263077
Honduras,82552,2492,31736,48324,9746117
Hungary,35222,913,9202,25107,9769949
Iceland,3373,10,2448,915,361313
India,6979423,107416,5988822,883185,1366417754
Indonesia,324658,11677,247667,65314,270625568
